company,grossProfit,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,cash,commonStock,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,esgRiskRating,esgCluster
INDY.jk,0.062175066312997344,0.1602657255553249,0.05493250259605399,0.19977771603223118,0.19977771603223118,0.20107033639143732,0.08306535811234078,0.027312991512740716,0.16594103744246796,0.36704119850187267,0.14910905366277938,0.0044164301801296185,0.07862991078056912,0.024647589773884093,0.20178387650085763,0.020644652088049626,0.06331495738377518,0.05556456437985428,0.23440605773781356,0.03094476204917926,0.06460326611518853,0.008188074060452378,0.02743673519085983,0.07900543109300746,0.5491803278688525,0.6666666666666667
INKP.jk,0.16710875331564987,0.30994394851567364,0.1786085150571132,0.3653792720200056,0.3653792720200056,0.354230377166157,0.25662977657130925,0.08875987274516489,0.2200522453041423,0.28389513108614234,0.24638643152244818,0.0025800633128467707,0.10496429466202174,1.0000000000000002,0.43259005145797597,0.1770242158853874,0.034033508152761974,0.2831461051124767,0.3502129673450071,0.07587690705260665,0.20322854385158026,0.02238331671844704,0.04446873215264148,0.29820095044127626,0.3524590163934427,0.3333333333333333
INTP.jk,0.08976127320954908,0.24081378451318247,0.08712357217030114,0.297304806890803,0.297304806890803,0.2917940876656473,0.13656295677594488,0.053185362557971946,0.07451175519343202,0.4648689138576779,0.07987044942148572,0.0014527886022374977,0.06412933231419964,0.056711806660669765,0.2974271012006861,0.001862106653695473,0.024112358687658732,0.07960880578403798,0.2929484145764316,0.016402408064667487,0.03901589008440595,0.003284262960417856,0.003570196469520698,0.13102511880515955,0.37909836065573776,0.3333333333333333
IPTV.jk,0.04512466843501326,0.20056051484326343,0.048840290758047765,0.25340372325646016,0.25340372325646016,0.25178389398572887,0.10737105867613281,0.006044380609381516,0.018099266077870383,0.4246441947565543,0.019730141109419883,0.0007009690976617971,0.0006330742807799409,0.380828915289656,0.24411663807890222,0.004666740134843379,0.0029413487278748653,0.04477261416820903,0.21042593469001422,0.006334624536928568,0.005331243157806093,0.0012114349131993171,0.002548276651813799,0.06695519348268839,0.23975409836065573,0.3333333333333333
ITMG.jk,0.06885941644562334,0.21631720988166908,0.09595015576323987,0.2629063628785774,0.2629063628785774,0.2596585117227319,0.12299018584255586,0.02560084931121806,0.09752456773230501,0.4255430711610487,0.09703704551436844,0.0008200602162826155,0.027961222806128633,0.027838216281830253,0.26380789022298456,0.005063354970561264,0.018529201701224116,0.03146440613519573,0.24297207761476575,0.009876992815207077,0.01841643292544681,0.002308340027680723,0.0031063463394977084,0.08944331296673455,0.49590163934426235,0.6666666666666667
JPFA.jk,0.11172413793103447,0.22482873157566952,0.09106957424714435,0.27249235898860796,0.27249235898860796,0.2711518858307849,0.1474211735226561,0.08666725449885943,0.21321059833312603,0.36853932584269666,0.21033657972739445,0.0022709718599377765,0.011127217919883602,0.0579754211192623,0.25728987993138935,0.017386744508938425,0.03788950146713408,0.062274585236835774,0.2464268812115476,0.015594499509972388,0.03707254506940981,0.004727983662566177,0.010332261646262091,0.08223014256619143,0.625,1.0
JSMR.jk,0.09687002652519894,0.20896823749221508,0.12024922118380063,0.26093359266462907,0.26093359266462907,0.24460680428134557,0.1793693881812487,0.02122537479621572,0.059024754322676946,0.19700374531835205,0.07700935007267193,0.0002936956538287694,0.0382949683798632,0.11325855368268588,0.0,0.00996438115478942,0.18060142069592683,0.0032599517996835105,0.26691907240889734,0.06406901279167829,0.033833636711082894,0.011898194300610072,0.05729708731108978,0.11787169042769857,0.07991803278688522,0.0
KAEF.jk,0.07087533156498674,0.19604233128503218,0.04911041973001038,0.24750316293414837,0.24750316293414837,0.24618822008154945,0.109709751513886,0.05242441046840632,0.05672347306878965,0.3999250936329588,0.05583721489144989,0.0011709699245851795,0.010377187999209319,0.016118192178384456,0.24459691252144083,0.006054892059855978,0.006278389608687728,0.05494947913463097,0.22049219119734975,0.01037416731040406,0.018902269179195845,0.0053570910076363954,0.0074331983336184074,0.06648845892735913,0.6372950819672132,1.0
KLBF.jk,0.1427055702917772,0.27050031139713515,0.13333333333333333,0.32286746318421783,0.32286746318421783,0.31702344546381245,0.17080810190018794,0.11805652819344142,0.11991541236472199,0.44998417006996255,0.13079801783037115,0.001125515299157386,0.04337850450887779,0.013401421092410496,0.2785591766723842,0.004270125299125493,0.04122332902018497,0.04555544993485688,0.28963558920965454,0.013481507905385208,0.04160701677106748,0.0024454531669908987,0.0029324025407390874,0.11065852002715545,0.44057377049180324,0.6666666666666667
LINK.jk,0.06928381962864721,0.2204691716836205,0.07528556593977154,0.2731869963878855,0.2731869963878855,0.2696738022426096,0.12507830444769263,0.015327996102082133,0.015051623336235852,0.432434456928839,0.02179013264056581,0.0007146054852901351,0.002960225450319181,0.007620384944349631,0.2367409948542024,6.956340922180486e-05,0.005876723638440633,0.035825919692233706,0.2257927117841931,0.0042837797442410105,0.0016842323463299932,0.0021550959308046444,0.002127912471480465,0.056432450780719616,0.3872950819672132,0.6666666666666667
LPKR.jk,0.04262068965517241,0.0012455885405854294,0.077466251298027,0.0,0.0,0.0,0.025266235122154937,0.07258964084189537,0.09317079238711283,0.0,0.06613717254717953,0.0008518784540820708,0.0248777664655788,0.2225612043509405,0.28576329331046313,0.012995651684918976,0.22518634339335436,0.04823945827764947,0.17832465688594418,0.031690523791974734,0.10638518393760567,0.008430038423940923,0.020334030074882804,0.11956890699253224,0.37704918032786894,0.3333333333333333
LPPF.jk,0.06514588859416445,0.175129748806311,0.03725617860851506,0.22275632120033342,0.22275632120033342,0.22341997961264018,0.08446439757778242,0.0425320333040532,0.03209354397313098,0.4150561797752809,0.026310669611691595,0.000249150120909532,0.0043269466391034316,0.007430842775560749,0.22326243567753,0.0013740862631601762,0.008246552862898493,0.018827200187880585,0.2279223852342641,0.0033640069281265913,0.00439195973389129,0.0021873578459364502,0.003983312991572422,0.039294806517311605,0.18647540983606556,0.3333333333333333
LSIP.jk,0.04679045092838196,0.21237284616981522,0.06074766355140187,0.26635176437899416,0.26635176437899416,0.2633792048929664,0.11284192942159116,0.004351262210098001,0.015549197661400671,0.4476832958801498,0.018871811304775745,0.00014733175995127506,0.016294090706750888,0.020130168084415766,0.2524185248713551,0.003519390074373781,0.009451550773639777,0.03442799868036256,0.24543303360151444,0.006210330913129322,0.008634929683299541,0.00036213999735452295,0.001011773096112646,0.0762050237610319,0.5532786885245902,0.6666666666666667
